,precision,recall,f1-score,support
0,0.9986130374479889,0.96,0.9789259007477906,750.0
1,0.9410288582183187,1.0,0.9696186166774402,750.0
2,0.998639455782313,0.9786666666666667,0.9885521885521885,750.0
3,1.0,0.996,0.9979959919839679,750.0
4,0.9957142857142857,0.9293333333333333,0.9613793103448276,750.0
5,0.9152542372881356,0.936,0.9255108767303889,750.0
6,0.9348659003831418,0.976,0.9549902152641878,750.0
7,0.8058252427184466,0.996,0.8908765652951699,750.0
8,0.9948006932409013,0.7653333333333333,0.8651092690278824,750.0
9,0.9573002754820936,0.9266666666666666,0.9417344173441734,750.0
10,0.9206145966709347,0.9586666666666667,0.9392553886348791,750.0
11,0.9819694868238558,0.944,0.9626104690686608,750.0
12,1.0,1.0,1.0,750.0
13,0.9702457956015524,1.0,0.9848982271831911,750.0
14,0.9973297730307076,0.996,0.9966644429619747,750.0
15,0.9960159362549801,1.0,0.998003992015968,750.0
16,0.9351620947630923,1.0,0.9664948453608248,750.0
17,1.0,0.9306666666666666,0.9640883977900553,750.0
18,0.9503355704697987,0.944,0.9471571906354515,750.0
19,0.9920634920634921,1.0,0.9960159362549801,750.0
20,0.9429708222811671,0.948,0.9454787234042553,750.0
21,0.9314359637774903,0.96,0.9455022980958634,750.0
22,0.8879518072289156,0.9826666666666667,0.9329113924050633,750.0
23,0.9660493827160493,0.8346666666666667,0.8955650929899857,750.0
24,0.8325,0.888,0.8593548387096774,750.0
25,0.8808139534883721,0.8069241011984021,0.8422515635858235,751.0
accuracy,0.9483616224808984,0.9483616224808984,0.9483616224808984,0.9483616224808984
macro avg,0.9510577177479244,0.948368875687118,0.9481133135024873,19501.0
weighted avg,0.9510541156883242,0.9483616224808984,0.9481078849731854,19501.0
